MÁSTER CURSADO,AÑO ACADÉMICO,UNIVERSIDAD DE PROCEDENCIA,ASIGNATURA CURSADA,ASIGNATURA RECONOCIDA EN MUPEE
MÁSTER UNIVERSITARIO EN TECNOLOGÍA EDUCATIVA Y COMPETENCIAS DIGITALES,2023-24,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),"CREACIÓN DE CONTENIDOS DIGITALES, MOBILE LEARNING Y GAMIFICACIÓN EN EL AULA","JUEGO, GAMIFICACIÓN Y TIC COMO HERRAMIENTAS PARA EL APRENDIZAJE"
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZAS DE IDIOMAS",2022-23,UNIVERSIDAD DEL ATLÁNTICO MEDIO,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN EDUCACIÓN FÍSICA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO 
EN INNOVACIÓN E INVESTIGACIÓN EN 
EDUCACIÓN",2019-20,UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA (UNED),"INNOVACIÓN EDUCATIVA + METODOLOGÍA DE LA INVESTIGACIÓN CUALITATIVA +  METODOLOGÍA DE LA INVESTIGACIÓN CUANTITATIVA + INVESTIGACIÓN EVALUATIVA + MODELOS DIDÁCTICOS: INNOVACCIÓN E INVESTIGACIÓN EN LA SOCIEDAD DEL 
CONOCIMIENTO",INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
LICENCIATURA EN PSICOLOGÍA,2008-13,UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA (UNED),DISEÑOS DE INVESTIGACIÓN EN PSICOLOGÍA + ANÁLISIS DE DATOS EN PSICOLOGÍA I Y II + PSICOMETRÍA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
LICENCIATURA EN PSICOLOGÍA,2008-13,UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA (UNED),DISEÑOS DE INVESTIGACIÓN EN PSICOLOGÍA + ANÁLISIS DE DATOS EN PSICOLOGÍA I Y II + PSICOMETRÍA,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS EN EDUCACIÓN
MÁSTER UNIVERSITARIO EN DESARROLLO DEL LENGUAJE Y DIFICULTADES DE LA COMUNICACIÓN,INDIFERENTE,UNIVERSIDAD NEBRIJA,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS EN EDUCACIÓN
MÁSTER UNIVERSITARIO EN PSICOPEDAGOGÍA,INDIFERENTE,UNIVERSIDAD NEBRIJA,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS EN PSICOPEDAGOGÍA,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS EN EDUCACIÓN
"MÁSTER UNIVERSITARIO EN PROFESORADO DE ESO, BACHILLERADO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2020-21,UNIVERSIDAD DE JAÉN,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN EL ÁREA DE CIENCIA Y TECNOLOGÍA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN ORIENTACIÓN E INTERVENCIÓN PSICOPEDAGÓGICA,2020-21,UNIVERSIDAD CAMILO JOSÉ CELA,"FUNCIONES EJECUTIVAS Y ESTRATEGIAS DE APRENDIZAJE: MOTIVACIÓN, ATENCIÓN, MEMORIA",LA INTELIGENCIA EJECUTIVA EN EL AULA
MÁSTER UNIVERSITARIO EN ATENCIÓN TEMPRANA,2022-23,UNIVERSIDAD FRANCISCO DE VITORIA,"NEUROCIENCIA Y ATENCIÓN TEMPRANA + EL DESARROLLO COGNITIVO, SENSORIAL Y MOTOR Y SUS ALTERACIONES + INTERVENCIÓN EN DIFICULTADES ESPECÍFICAS DEL APRENDIZAJE",CEREBRO Y APRENDIZAJE
MÁSTER UNIVERSITARIO EN ATENCIÓN TEMPRANA,2022-23,UNIVERSIDAD FRANCISCO DE VITORIA,DISEÑOS AVANZADOS DE INVESTIGACIÓN + MÉTODOS DE INVESTIGACIÓN APLICADOS A LA ATENCIÓN TEMPRANA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA,2010-11,UNIVERSIDAD DE EXTREMADURA,INNOVACIÓN DOCENTE E INVESTIGACIÓN,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN TECNOLOGÍA DIGITAL APLICADA A LA PRÁCTICA DOCENTE,2019-20,UNIVERSIDAD CAMILO JOSÉ CELA,"NUEVAS METODOLOGÍAS Y DISEÑOS DIDÁCTICOS CON TICS + TECNOLOGÍA APLICADA A LA DOCENCIA: HISTORIA Y ACTUALIDAD + PLATAFORMA, REDES Y COMUNIDADES EDUCATIVAS + FUNDAMENTOS DE INFORMÁTICA EDUCATIVA Y CONDUCTAS SEGURAS EN EL ENTORNO DIGITAL",LA EDUCACIÓN EN LA SOCIEDAD DIGITAL
MÁSTER UNIVERSITARIO EN TECNOLOGÍA DIGITAL APLICADA A LA PRÁCTICA DOCENTE,2019-20,UNIVERSIDAD CAMILO JOSÉ CELA,INVESTIGACIÓN APLICADA A LA TECNOLOGÍA EDUCATIVA + PROYECTOS DE INNOVACIÓN Y ÚLTIMAS TENDENCIAS DIGITALES,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
CURSO DE FORMACIÓN PEDAGÓGICA Y DIDÁCTICA PARA PROFESORADO DE FORMACIÓN PROFESIONAL Y DEPORTIVA,2022-23,UNIVERSIDAD ALFONSO X EL SABIO,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MU EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2021-22,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MU EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2022-23,UNIVERSIDAD DE ALICANTE,INVESTIGACIÓN E INNOVACIÓN DOCENTE EN CICLOS FORMATIVOS. PROFESORADO DE EDUCACIÓN SECUNDARIA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MU EN PROFESORADO DE ESO, BACHILLERATO, FP Y ENSEÑANZA DE IDIOMAS",2019-20,UNIVERSIDAD DE JAÉN,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN EL ÁREA DE LA FORMACIÓN PROFESIONAL,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA,2022-23,UNIVERSIDAD INTERNACIONAL DE VALENCIA,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA DE FORMACIÓN Y ORIENTACIÓN LABORAL,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO EN PROFESORADO DE ENSEÑANZA SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2013-14,UNIVERSIDAD DE JAÉN,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN BIOLOGÍA Y GEOLOGÍA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
